artist,count
Doja Cat,8
Coopex,6
Dame Dame,5
Lil Nas X,4
Farux,4
Alex Alexander,4
YES YES,4
The Weeknd,3
Dua Lipa,3
Nito-Onna,3
Pop Smoke,3
Alex D'Rosso,3
Astelle,3
Ariana Grande,3
The Kid LAROI,3
Megan Thee Stallion,2
Harry Styles,2
Lucas Estrada,2
Cardi B,2
Drake,2
Tiësto,2
P.S.,2
LANDR,2
Olivia Rodrigo,2
Bruno Mars,2
CPX,2
Jack Harlow,2
Saweetie,2
Maroon 5,2
Ed Sheeran,2
SZA,2
blackbear,2
DaBaby,2
SALES,2
Justin Bieber,2
Brent Faiyaz,1
Kali Uchis,1
Blanco Brown,1
sad girls,1
Yusuf Alev,1
Tame Impala,1
Alfons,1
Peachy!,1
Jawsh 685,1
Nadia Gattas,1
Kauai45,1
Ruth B.,1
Gym Class Heroes,1
VANO 3000,1
Xilo,1
Suki Waterhouse,1
Kayla Nicole,1
The Neighbourhood,1
Michael Shynes,1
Senhit,1
Lil Tjay,1
CJ,1
BØRNS,1
Bee Gees,1
Riton,1
Maluma,1
24kGoldn,1
Internet Money,1
Ritt Momney,1
Ana Shine,1
S1mba,1
Nander,1
Billie Eilish,1
Lil Mosey,1
Roddy Ricch,1
LeXxìv,1
BENEE,1
Marshmello,1
Xtinctor,1
Rich The Kid,1
The Prince Karma,1
Halsey,1
Future,1
Surfaces,1
Trevor Daniel,1
Powfu,1
Faruk Orman,1
Lil Uzi Vert,1
Breakbot,1
JACKBOYS,1
Martin van Lectro,1
DripReport,1
Arizona Zervas,1
Vicetone,1
Cabuizee,1
Ilkay Sencan,1
Gianni Blu,1
Bag Raiders,1
Braaheim,1
Claire Rosinkranz,1
ROSALÍA,1
Baby Bluu,1
Melanie Martinez,1
Andrew Nagy,1
HOURS,1
Conkarah,1
Myrrhe,1
Quavo,1
StaySolidRocky,1
Young T & Bugsey,1
Boostereo,1
THE SCOTTS,1
Pia Baris,1
JRL,1
Jorm,1
SAYGRACE,1
WILLOW,1
Kate Bush,1
SoulChef,1
Paradigm,1
sped up nightcore,1
Camila Cabello,1
XY&O,1
Tom Odell,1
Madonna,1
Viva La Panda,1
Luude,1
THE ANXIETY,1
Taylor Watson,1
Post Malone,1
HotBlock Jmoe,1
John De Sohn,1
Charlie Puth,1
Sofía Reyes,1
Kinrose,1
CKay,1
Girll Codee,1
Monaldin,1
Jnr Choi,1
Kreepa,1
Rauw Alejandro,1
GAYLE,1
Nicky Youre,1
Glass Animals,1
Lizzo,1
Joji,1
Steve Lacy,1
Imagine Dragons,1
LF SYSTEM,1
Yung Gravy,1
Jena Rose,1
Stephen Sanchez,1
Elley Duhé,1
Anitta,1
Jt5k,1
Rosa Linn,1
Disco Lines,1
KillBunk,1
Panic! At The Disco,1
Arman Aydin,1
Matvey Emerson,1
Shab,1
Becky G,1
NEIKED,1
Tesher,1
MØRFI,1
Masked Wolf,1
Naeleck,1
Erica Banks,1
Amero,1
Glamii,1
Padé,1
DLAY,1
VINAI,1
LISA,1
Surf Curse,1
Timemachine,1
Madism,1
Polo G,1
CAZZETTE,1
Nathan Evans,1
Reyanna Maria,1
Jungle Jonsson,1
Måneskin,1
Harddope,1
Dirty Heads,1
Thatsimo,1
Bella Poarch,1
Amaarae,1
loafers,1
JAM & Philly,1
Elton John,1
Duke & Jones,1
Frank Ocean,1
MISERO,1
Oliver Tree,1
Trinidad Cardona,1
Nippandab,1
Asketa & Natan Chaim,1
bbno$,1
Goya Menor,1
Why Not,1
Emmy Meli,1
Sub Urban,1
