artist_name,count
Glass Animals,1
The Kid LAROI,2
Anitta,2
Imagine Dragons,6
GAYLE,1
Elton John,1
Becky G,1
Lil Nas X,4
Rauw Alejandro,4
Ed Sheeran,7
Doja Cat,8
Justin Bieber,4
Camila Cabello,2
Elley Duhé,1
Tiësto,4
Olivia Rodrigo,7
The Weeknd,27
Megan Thee Stallion,1
Tom Odell,1
The Neighbourhood,3
Ruth B.,1
Charlie Puth,3
Dua Lipa,3
ROSALÍA,7
Billie Eilish,6
Måneskin,3
CKay,2
Harry Styles,18
Frank Ocean,1
Post Malone,14
Steve Lacy,2
Jnr Choi,1
LISA,1
Jack Harlow,5
Surf Curse,1
Drake,18
Luude,1
Bruno Mars,6
Maroon 5,2
WILLOW,1
NEIKED,1
24kGoldn,1
THE ANXIETY,1
Ariana Grande,1
Kate Bush,1
Joji,2
Lizzo,2
Rosa Linn,1
Nicky Youre,1
Stephen Sanchez,1
Future,11
Yung Gravy,1
Marshmello,2
LF SYSTEM,1
Panic! At The Disco,1
SZA,1
Emmy Meli,1
Amaarae,1
Oliver Tree,1
Maluma,1
Riton,1
Masked Wolf,1
Polo G,2
Halsey,1
Lil Tjay,1
Sofía Reyes,1
Cardi B,1
Brent Faiyaz,2
SALES,1
